,Unnamed: 0,Ежемесячный Фин. Отчет Университета,Unnamed: 2,Unnamed: 3,Unnamed: 4,"2024
Остаток","2025
Январ","2025
Февраль","2025
Март","2025
Апрель","2025
Май","2025
Июнь","2025
Июль","2025
Август","2025
Сентябрь","2025
Октябрь","2025
Ноябрь","2025
Декабрь","Grand Total
2024-2025"
0,,,,,,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS
136,4.2.3.1),Бино,,31.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,4.2.3.1.1),Тураржой бинолари,,31.0,100.0,,,,,,,,,,,,,,0
138,4.2.3.1.2),Нотурар жой бинолари,,31.0,200.0,,,,,,,,,,,,,,0
139,4.2.3.2),Иншоот,,32.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4.2.3.2.1),Бошқа иншоотлар,,32.0,900.0,,,,,,,,,,,,,,0
141,4.2.3.3),"Транспорт воситалари, машиналар, жиҳозлар ва техника",,33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,4.2.3.3.1),Транспорт воситалари,,33.0,100.0,,,,,,,,,,,,,,0
143,4.2.3.3.2),"Бошқа машиналар, жиҳозлар ва техника",,33.0,900.0,,,,,,,,,,,,,,0
144,4.2.3.4),Асосий воситаларни капитал таъмирлаш бўйича бошқа харажатлар,,39.0,0.0,,,,,,,,,,,,,,0
145,4.2.4),Асосий воситаларни ўрта таъмирлаш ,43.0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,4.2.4.1),Бино,,41.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,4.2.4.1.1),Тураржой бинолари,,41.0,100.0,,,,,,,,,,,,,,0
148,4.2.4.1.2),Нотурар жой бинолари,,41.0,200.0,,,,,,,,,,,,,,0
149,4.2.4.2),Иншоот,,42.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4.2.4.2.1),Бошқа иншоотлар,,42.0,900.0,,,,,,,,,,,,,,0
151,4.2.4.3),"Транспорт воситалари, машиналар, жиҳозлар ва техника",,43.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,4.2.4.3.1,Транспорт воситалари,,43.0,100.0,,,,,,,,,,,,,,0
153,4.2.4.3.2,"Бошқа машиналар, жиҳозлар ва техника",,43.0,900.0,,,,,,,,,,,,,,0
154,4.2.4.4),Бошқа асосий воситаларни ўрта таъмирлаш бўйича бошқа турли кўринишдаги харажатлар ,,49.0,0.0,,,,,,,,,,,,,,0
